question,expected,retrieved,hit,rank,recall,precision
Làm việc ban đêm được tính từ mấy giờ?,106,"146,98,109,57",False,0,0.0,0.0
Làm thêm giờ được quy định như thế nào?,107,"107,108",True,1,1.0,0.2
Một tháng được làm thêm tối đa bao nhiêu giờ?,107,"107,146,98",True,1,1.0,0.2
Một năm được làm thêm tối đa bao nhiêu giờ?,107,"107,146,98",True,1,1.0,0.2
Người lao động được nghỉ giữa giờ như thế nào?,109,"109,111,115,112",True,1,1.0,0.2
Có được nghỉ giải lao trong giờ làm việc không?,109,"109,188,194,190",True,1,1.0,0.2
Mỗi tuần người lao động được nghỉ bao nhiêu ngày?,111,"111,115,113",True,1,1.0,0.2
Nếu không nghỉ hằng tuần thì xử lý thế nào?,111,"111,125,113",True,1,1.0,0.2
Người lao động được nghỉ lễ bao nhiêu ngày?,112,"112,111,115",True,1,1.0,0.2
Những ngày nghỉ lễ được hưởng nguyên lương gồm những ngày nào?,112,"112,111,115,113",True,1,1.0,0.2
Làm đủ 12 tháng được nghỉ phép bao nhiêu ngày?,113,"113,137,123,111",True,1,1.0,0.2
Làm chưa đủ 12 tháng thì nghỉ phép được tính thế nào?,113,"113,143,34,41",True,1,1.0,0.2
Có được gộp ngày nghỉ phép nhiều năm không?,113,"113,97,111",True,1,1.0,0.2
Bao lâu thì được tăng thêm ngày nghỉ hằng năm?,114,"113,111,169",False,0,0.0,0.0
Người lao động được nghỉ việc riêng khi nào?,115,"115,37,112",True,1,1.0,0.2
Ông bà mất có được nghỉ làm không?,115,"115,41,37,137,139",True,1,1.0,0.2
Có được nghỉ không hưởng lương không?,115,"115,113",True,1,1.0,0.2
Nghỉ phép năm có được hưởng nguyên lương không?,113,"113,112,115",True,1,1.0,0.2
Các trường hợp chấm dứt hợp đồng lao động là gì?,34,"34,45,36",True,1,1.0,0.2
Người lao động có quyền đơn phương chấm dứt hợp đồng không?,35,"35,36",True,1,1.0,0.2
Người lao động phải báo trước bao lâu khi nghỉ việc?,35,"29,139,115,125",False,0,0.0,0.0
Khi nào người lao động được nghỉ việc không cần báo trước?,35,"139,115,41,125",False,0,0.0,0.0
Người sử dụng lao động được đơn phương chấm dứt hợp đồng khi nào?,36,"36,35,34,37",True,1,1.0,0.2
Khi nào người sử dụng lao động không được đơn phương chấm dứt hợp đồng?,37,"36,37,35",True,2,1.0,0.2
Đang nghỉ phép thì có bị cho thôi việc không?,37,"113,156,115,40,37",True,5,1.0,0.2
Người lao động được trợ cấp thôi việc khi nào?,46,"46,40,41",True,1,1.0,0.2
Trợ cấp mất việc làm được quy định như thế nào?,47,"47,43",True,1,1.0,0.2
Sau khi nghỉ việc công ty phải thanh toán trong bao lâu?,48,"48,113,41,53,128",True,1,1.0,0.2
Kỷ luật lao động là gì?,117,"123,122,127,124",False,0,0.0,0.0
Nội quy lao động phải có những nội dung gì?,118,"118,21",True,1,1.0,0.2
Nguyên tắc xử lý kỷ luật lao động là gì?,122,122,True,1,1.0,0.2
Thời hiệu xử lý kỷ luật lao động là bao lâu?,123,"123,126,124",True,1,1.0,0.2
Có những hình thức kỷ luật lao động nào?,124,"122,123,125,126",False,0,0.0,0.0
Khi nào người lao động bị sa thải?,125,"34,125,137,177",True,2,1.0,0.2
Có được xử lý kỷ luật lao động đối với người đang nghỉ ốm không?,122,"122,126,34,125",True,1,1.0,0.2
Sa thải là một hình thức kỷ luật lao động đúng không?,124,"34,125,124",True,3,1.0,0.2
Người lao động có quyền tự bào chữa khi bị xử lý kỷ luật không?,122,"122,125",True,1,1.0,0.2
Có được xử lý nhiều hình thức kỷ luật cùng lúc không?,122,"122,125,127",True,1,1.0,0.2
Người lao động nước ngoài làm việc tại Việt Nam phải đáp ứng điều kiện gì?,151,"151,152",True,1,1.0,0.2
Khi nào người nước ngoài được tuyển dụng vào Việt Nam?,152,"152,150,154",True,1,1.0,0.2
Giấy phép lao động có thời hạn bao lâu?,155,"156,162,151,190",False,0,0.0,0.0
Trường hợp nào không cần giấy phép lao động?,154,"156,154",True,2,1.0,0.2
Khi nào giấy phép lao động bị thu hồi?,156,"156,172,41",True,1,1.0,0.2
Đối thoại tại nơi làm việc là gì?,63,"63,64",True,1,1.0,0.2
Bao lâu phải tổ chức đối thoại tại nơi làm việc?,63,"63,64",True,1,1.0,0.2
Thương lượng tập thể là gì?,65,"71,73,68",False,0,0.0,0.0
Nguyên tắc thương lượng tập thể gồm những gì?,66,"72,73,70,67",False,0,0.0,0.0
Ai có quyền yêu cầu thương lượng tập thể?,68,"68,69,70,73",True,1,1.0,0.2
Thỏa ước lao động tập thể là gì?,75,"75,86,78,82,76",True,1,1.0,0.2
Thỏa ước lao động tập thể có hiệu lực khi nào?,78,"78,75,79",True,1,1.0,0.2
Thời hạn của thỏa ước lao động tập thể là bao lâu?,83,"78,70,197",False,0,0.0,0.0
Có được sửa đổi thỏa ước lao động tập thể không?,84,"82,79,75,80",False,0,0.0,0.0
Khi nào thỏa ước lao động tập thể hết hiệu lực?,86,"78,79,80",False,0,0.0,0.0
Tranh chấp lao động là gì?,179,"179,180",True,1,1.0,0.2
Tranh chấp lao động cá nhân là gì?,179,"179,188,180,190",True,1,1.0,0.2
Tranh chấp lao động tập thể là gì?,179,"179,191,192",True,1,1.0,0.2
Ai có thẩm quyền hòa giải tranh chấp lao động?,185,"187,191,180,188",False,0,0.0,0.0
Khi nào được yêu cầu Tòa án giải quyết tranh chấp lao động?,188,"190,194,189",False,0,0.0,0.0
Đình công là gì?,198,"200,203,217,204,201",False,0,0.0,0.0
Ai có quyền tổ chức đình công?,200,"203,201,204,202,178",False,0,0.0,0.0
Trường hợp nào đình công là bất hợp pháp?,204,"204,217",True,1,1.0,0.2
Khi nào được hoãn đình công?,210,"210,204,202,200",True,1,1.0,0.2
Người lao động tham gia đình công có bị xử lý không?,207,"207,217,201",True,1,1.0,0.2
Người lao động có quyền từ chối làm việc khi nào?,6,"143,10,177,29,148",False,0,0.0,0.0
Người sử dụng lao động phải bảo đảm điều gì về an toàn lao động?,6,"134,159,9,105",False,0,0.0,0.0
Người lao động phải tuân thủ quy định an toàn như thế nào?,6,"134,215,118",False,0,0.0,0.0
Có được ép người lao động làm việc khi mất an toàn không?,6,"134,41,2,29",False,0,0.0,0.0
Người lao động có quyền rời khỏi nơi làm việc khi nguy hiểm không?,6,"29,34,206,209,10",False,0,0.0,0.0
Làm chưa đủ một năm thì nghỉ phép tính sao?,113,"143,113,156",True,2,1.0,0.2
Đi làm ngày lễ thì tiền lương tính thế nào?,98,"112,98,41",True,2,1.0,0.2
Công ty bắt thử việc ba tháng có đúng luật không?,25,"25,24",True,1,1.0,0.2
Muốn nghỉ ngang thì có phải báo trước không?,35,"139,125,112,115,113",False,0,0.0,0.0
Sếp giữ bằng đại học của nhân viên có hợp pháp không?,17,"137,17,18,177",True,2,1.0,0.2
Nếu nghỉ việc thì công ty phải thanh toán tiền trong bao lâu?,48,"113,48,41,128,101",True,2,1.0,0.2
Mình có được ký nhiều hợp đồng lao động cùng lúc không?,19,"19,55,14,22",True,1,1.0,0.2
Có thể nghỉ không lương vài ngày được không?,115,"115,113,111",True,1,1.0,0.2
Doanh nghiệp được sa thải nhân viên trong trường hợp nào?,125,"34,137,125",True,3,1.0,0.2
Bao nhiêu tuổi mới được phép đi làm hợp pháp?,143,"143,147,145,18",True,1,1.0,0.2
